OBJECT_ID,Name of Museum or HC,Add1,Add2,Add3,County,Postcode
1,Ballycastle Museum,59 Castle Street,,Ballycastle,Antrim,BT54 6AS
2,Ballymoney Museum,Town Hall,,Ballymoney,Antrim,BT53 6BE
3,Brookhall Historical Farm,2 Horse Park,Magheragall,Lisburn,Antrim,BT28 2QU
4,Andrew Jackson Cottage and US Rangers Centre,2 Boneybefore Road,,Carrickfergus,Antrim,BT38 7EQ
5,Carrickfergus Museum and Civic Centre,11 Antrim Street,,Carrickfergus,Antrim,BT38 7DG
6,Fernhill House - The People's Museum,Glencairn Park,Glencairn,Belfast,Antrim,BT13 3PU
7,Flame - The Gasworks Museum of Ireland,44 Irish Quarter West,,Carrickfergus,Antrim,BT38 8AT
8,Irish Linen Centre and Lisburn Museum,Market Square,,Lisburn,Antrim,BT28 1AG
9,Eileen Hickey Museum - Irish Republican History Museum,Conway Mill Complex,Conway Street,Belfast,Antrim,BT13 2DE
10,Larne Museum & Arts Centre,2 Victoria Road,,Larne,Antrim,BT40 1RN
11,Museum at the Mill,Carnmoney Road North,Ballyhenry,Newtownabbey,Antrim,BT36 5QA
12,Naughton's Gallery at Queen's,Lanyan Building,Queen's University,Belfast,Antrim,BT7 1NN
13,Old Bushmills Distillery,2 Distillery Road,,Bushmills,Antrim,BT57 8XH
14,Police Museum,PSNI Headquarters,65 Knock Road,Belfast,Antrim,BT5 6LE
15,Railway Preservation Society of Ireland,Castleview Road,,Whitehead,Antrim,BT38 9NA
16,Royal Irish Regiment Museum,St. Patricks Barracks,,Ballymena,Antrim,BT43 7BH
17,Royal Ulster Rifles Museum,5 Waring Street,,Belfast,Antrim,BT1 2EW
18,Sentry Hill Visitor Centre,40 Ballycraigy Road,,Newtownabbey,Antrim,BT36 4SX
19,The Braid Mid-Antrim Museum,Town Hall Museum and Arts Centre,1-29 Bridge Street,Ballymena,Antrim,BT43 5EJ
20,Ulster Aviation Heritage Centre,Long Kesh former WW2 Airfield,,Lisburn,Antrim,BT27 5RF
21,Ulster Museum,Botanic Gardens,,Belfast,Antrim,BT9 5AB
22,W5 Science Centre,2 Queen's Quay,,Belfast,Antrim,BT3 9QQ
23,Titanic Belfast - Titanic Experience,1 Olympic Way,Queen's Road,Belfast,Antrim,BT3 9EP
24,Armagh County Museum,The Mall East,,Armagh,Armagh,BT61 9BE
25,Armagh Planetarium,College Hill,,Armagh,Armagh,BT61 9DB
26,Armagh Public Library,43 Abbey Street,,Armagh,Armagh,BT61 7DY
27,Barn Museum,Tannaghmore Animal Farm & Gardens,Silverwood,Craigavon,Armagh,BT66 6LF
28,Craigavon Museum,Lough Neagh Discovery Centre,Oxford Island,Craigavon,Armagh,BT66 6NJ
29,Moneypenny's Lock and Lockhouse,Horseshoe Lane,,Portadown,Armagh,BT62 3RF
